stream_type,timestamp_ms,sensor_nanos,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,has_fix,latitude,longitude,altitude,accuracy,speed,bearing,sats_view,sats_used,registered,cell_type,cell_id,mcc,mnc,lac,tac,pci,arfcn,signal_dbm,signal_metric,signal_level,operator
SENSOR,1789662427906,42158152373623,,,,-0.005803215,-0.011453713,0.0029016074,,,,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662427916,42158164495811,,,,-0.0018325942,0.0015271618,0.0029016074,,,,,,,,,,,,,,,,,,,,,,,,,
CELLULAR,1789662427921,,,,,,,,,,,,,,,,,,,true,NR,4298047490,405,869,,75,403,634080,-107,NR_SS_RSRP,3,
SENSOR,1789662427938,42158174495810,,,,-0.0018325942,0.0015271618,0.0029016074,-58.95,2.4750001,5.625,,,,,,,,,,,,,,,,,,,,,,
GNSS,1789662427913,,,,,,,,,,,true,11.0554072,76.9271226,374.70001220703125,57.541,,,0,0,,,,,,,,,,,,,
SENSOR,1789662427957,42158175998726,0.1381855,0.21774685,9.860224,-0.0018325942,0.0015271618,0.0029016074,-58.95,2.4750001,5.625,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428009,42158264495810,0.1381855,0.21774685,9.860224,1.5271618E-4,0.0015271618,6.108647E-4,-58.95,2.4750001,5.625,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428027,42158274495810,0.1381855,0.21774685,9.860224,1.5271618E-4,0.0015271618,6.108647E-4,-60.675003,2.025,9.0,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428063,42158280186435,0.13399807,0.2434697,9.870094,1.5271618E-4,0.0015271618,6.108647E-4,-60.675003,2.025,9.0,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428107,42158364495810,0.13399807,0.2434697,9.870094,7.635809E-4,7.635809E-4,-0.0,-60.675003,2.025,9.0,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428124,42158374495810,0.13399807,0.2434697,9.870094,7.635809E-4,7.635809E-4,-0.0,-60.600002,2.325,8.925,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428169,42158384374091,0.1363909,0.22253251,9.863514,7.635809E-4,7.635809E-4,-0.0,-60.600002,2.325,8.925,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428203,42158464495810,0.1363909,0.22253251,9.863514,3.0543236E-4,-4.5814854E-4,-7.635809E-4,-60.600002,2.325,8.925,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428227,42158474495810,0.1363909,0.22253251,9.863514,3.0543236E-4,-4.5814854E-4,-7.635809E-4,-61.275,1.8750001,9.075001,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428271,42158488561747,0.13369897,0.23389842,9.868599,3.0543236E-4,-4.5814854E-4,-7.635809E-4,-61.275,1.8750001,9.075001,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428306,42158564495810,0.13369897,0.23389842,9.868599,3.0543236E-4,-4.5814854E-4,4.5814854E-4,-61.275,1.8750001,9.075001,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428324,42158574495810,0.13369897,0.23389842,9.868599,3.0543236E-4,-4.5814854E-4,4.5814854E-4,-60.525,2.1000001,9.150001,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428375,42158592749403,0.1372882,0.22582264,9.865009,3.0543236E-4,-4.5814854E-4,4.5814854E-4,-60.525,2.1000001,9.150001,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428401,42158664495810,0.1372882,0.22582264,9.865009,3.0543236E-4,-4.5814854E-4,4.5814854E-4,-60.525,2.1000001,9.150001,,,,,,,,,,,,,,,,,,,,,,
SENSOR,1789662428428,42158674495810,0.1372882,0.22582264,9.865009,3.0543236E-4,-4.5814854E-4,4.5814854E-4,-60.525,2.1000001,8.925,,,,,,,,,,,,,,,,,,,,,,
