timestamp,relative_time_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,latitude,longitude,altitude,gnss_speed,gnss_bearing,reference_speed,reference_speed_kmh,reference_heading,session_id,vehicle_id
10.0,0.0,1.2521,-0.798,9.8104,0.0138,-0.0182,-0.0493,52.38674,-1.535683,150.31,0.0,118.77,5.458888888888889,19.652,44.112,IOVNBD_M,Research_Vehicle_Ford_Fiesta
110.0,0.1,1.0755,-1.0032,9.7642,0.0066,-0.0239,-0.0342,52.38674,-1.535683,150.31,0.0,118.77,5.5888888888888895,20.12,44.851000000000006,IOVNBD_M,Research_Vehicle_Ford_Fiesta
210.0,0.2,1.5948,-0.5938,9.2523,-0.0484,-0.0973,0.0266,52.38674,-1.535683,150.31,0.0,118.77,5.614999999999999,20.214,45.233,IOVNBD_M,Research_Vehicle_Ford_Fiesta
312.0,0.302,1.0366,-0.2979,9.6744,0.1012,0.0351,0.1326,52.38674,-1.535683,150.31,0.0,118.77,5.744999999999999,20.682,45.769,IOVNBD_M,Research_Vehicle_Ford_Fiesta
411.0,0.401,0.937,-1.3685,9.9196,0.0526,-0.1466,0.0997,52.38674,-1.535683,150.31,0.0,118.77,5.851944444444444,21.067,46.261,IOVNBD_M,Research_Vehicle_Ford_Fiesta
510.0,0.5,0.9962,-0.7901,9.6631,0.0097,0.0434,0.059,52.38674,-1.535683,150.31,0.0,118.77,5.8469444444444445,21.049,47.627,IOVNBD_M,Research_Vehicle_Ford_Fiesta
610.0,0.6,1.1587,-0.7392,9.7115,0.0099,0.0151,0.002,52.38674,-1.535683,150.31,0.0,118.77,5.893055555555556,21.215,48.173,IOVNBD_M,Research_Vehicle_Ford_Fiesta
710.0,0.7,1.06,-0.6797,9.6991,0.0227,0.0109,0.0008,52.38674,-1.535683,150.31,0.0,118.77,5.948055555555555,21.413,49.247,IOVNBD_M,Research_Vehicle_Ford_Fiesta
811.0,0.801,0.8927,-0.5118,9.6457,0.0,-0.0072,-0.0325,52.38674,-1.535683,150.31,0.0,118.77,5.933888888888888,21.362,50.282,IOVNBD_M,Research_Vehicle_Ford_Fiesta
910.0,0.9,1.0544,-0.7743,9.8208,0.0005,-0.0074,-0.0062,52.38674,-1.535683,150.31,0.0,118.77,6.016111111111111,21.658,51.401,IOVNBD_M,Research_Vehicle_Ford_Fiesta
1011.0,1.001,1.0926,-0.5641,9.7219,0.0316,-0.0517,0.0407,52.38674,-1.535683,150.31,0.0,118.77,6.0649999999999995,21.834,51.555,IOVNBD_M,Research_Vehicle_Ford_Fiesta
1110.0,1.1,0.9333,-0.7698,9.6612,0.0068,-0.2052,0.2854,52.38674,-1.535683,150.31,0.0,118.77,6.086111111111111,21.91,52.615,IOVNBD_M,Research_Vehicle_Ford_Fiesta
1211.0,1.201,0.4986,-1.2449,9.0913,0.045,-0.3093,0.2331,52.38674,-1.535683,150.31,0.0,118.77,6.165000000000001,22.194000000000003,53.989,IOVNBD_M,Research_Vehicle_Ford_Fiesta
1310.0,1.3,1.0814,-0.6625,9.746,-0.0137,-0.0285,-0.0432,52.38674,-1.535683,150.31,0.0,118.77,6.256944444444444,22.525,54.585,IOVNBD_M,Research_Vehicle_Ford_Fiesta
